name,files,tags,Icarus,UhdmVerilator,tree_sitter_verilog,Slang,Yosys,moore_parse,UhdmYosys,moore,Sv2v_zachjs,Odin,Verilator,Surelog,Verible,sv_parser
attributes-variable,/tmpfs/src/github/sv-tests/tests/chapter-5/5.12-attributes-variable.sv,5.12,True,,True,True,True,True,True,True,True,False,True,True,True,True
default-nettype,/tmpfs/src/github/sv-tests/tests/chapter-5/5.6.4--compiler-directives-default-nettype.sv,5.6.4,True,,True,True,True,True,True,True,True,False,True,True,True,True
string-broken-line,/tmpfs/src/github/sv-tests/tests/chapter-5/5.9-string-broken-line.sv,5.9,False,,False,True,True,True,True,True,True,False,True,True,True,True
real-constants-illegal,/tmpfs/src/github/sv-tests/tests/chapter-5/5.7.2-real-constants-illegal.sv,5.7.2,True,,True,True,True,True,True,True,True,True,True,True,True,True
arrays,/tmpfs/src/github/sv-tests/tests/chapter-5/5.11-arrays.sv,5.11,False,,True,True,False,True,False,True,True,False,True,True,True,True
integers-signed,/tmpfs/src/github/sv-tests/tests/chapter-5/5.7.1--integers-signed.sv,5.7.1,True,,True,True,True,True,False,True,True,False,True,True,True,True
arrays-replication,/tmpfs/src/github/sv-tests/tests/chapter-5/5.11-arrays-replication.sv,5.11,False,,True,True,False,True,False,True,True,False,True,True,True,True
integers-sized-illegal,/tmpfs/src/github/sv-tests/tests/chapter-5/5.7.1--integers-signed-illegal.sv,5.7.1,True,,True,True,False,False,True,True,True,True,True,True,True,True
compiler_directives_preprocessor_macro_1,/tmpfs/src/github/sv-tests/tests/chapter-5/5.6.4--compiler-directives-preprocessor-macro_1.sv,5.6.4,False,,False,False,False,False,False,False,False,False,True,False,True,False
debug-line,/tmpfs/src/github/sv-tests/tests/chapter-5/5.6.4--compiler-directives-debug-line.sv,5.6.4,False,,True,True,True,True,True,True,True,False,True,True,False,True
compiler_directives_preprocessor_macro_0,/tmpfs/src/github/sv-tests/tests/chapter-5/5.6.4--compiler-directives-preprocessor-macro_0.sv,5.6.4,False,,False,False,False,False,False,False,False,False,False,False,False,False
celldefine,/tmpfs/src/github/sv-tests/tests/chapter-5/5.6.4--compiler-directives-celldefine.sv,5.6.4,True,,True,True,True,True,True,True,True,False,True,True,True,True
arrays-key-index,/tmpfs/src/github/sv-tests/tests/chapter-5/5.11-arrays-key-index.sv,5.11,False,,True,True,False,True,False,True,False,False,True,True,True,True
integers-token,/tmpfs/src/github/sv-tests/tests/chapter-5/5.7.1--integers-token.sv,5.7.1,True,,True,True,True,True,True,True,True,True,True,True,True,True
escaped-identifiers,/tmpfs/src/github/sv-tests/tests/chapter-5/5.6.1--escaped-identifiers.sv,5.6.1,True,,True,True,True,True,True,True,True,False,True,True,True,True
wrong-identifiers,/tmpfs/src/github/sv-tests/tests/chapter-5/5.6--wrong-identifiers.sv,5.6 uvm-req,True,,True,True,True,True,True,True,True,True,True,True,True,True
cast_between_interface_classes,/tmpfs/src/github/sv-tests/tests/chapter-8/8.26.5--cast_between_interface_classes.sv,8.26.2,False,,False,False,False,True,False,False,False,False,False,True,True,True
constructor_super,/tmpfs/src/github/sv-tests/tests/chapter-8/8.7--constructor_super.sv,8.7 8.17 uvm-req,True,,False,False,False,False,False,False,False,False,False,True,True,True
typed_constructor,/tmpfs/src/github/sv-tests/tests/chapter-8/8.8--typed_constructor.sv,8.8,False,,False,False,False,False,False,False,False,False,False,True,True,True
super,/tmpfs/src/github/sv-tests/tests/chapter-8/8.15--super.sv,8.15 uvm-req,False,,False,False,False,False,False,False,False,False,False,True,True,True
static_methods,/tmpfs/src/github/sv-tests/tests/chapter-8/8.10--static_methods.sv,8.10,True,,False,False,False,True,False,False,False,False,False,True,True,True
implements_multiple,/tmpfs/src/github/sv-tests/tests/chapter-8/8.26.2--implements_multiple.sv,8.26.2,False,,False,False,False,True,False,False,False,False,False,True,True,True
abstract_class,/tmpfs/src/github/sv-tests/tests/chapter-8/8.21--abstract_class.sv,8.21 uvm-req,False,,False,False,False,False,False,False,False,False,False,True,True,True
parameters,/tmpfs/src/github/sv-tests/tests/chapter-8/8.5--parameters.sv,8.5 8.25,False,False,False,False,False,True,False,False,False,False,False,True,True,True
instantiation,/tmpfs/src/github/sv-tests/tests/chapter-8/8.4--instantiation.sv,8.4,True,,True,False,False,True,False,False,False,False,True,True,True,True
virtual_method,/tmpfs/src/github/sv-tests/tests/chapter-8/8.20--virtual_method.sv,8.20,False,,False,False,False,True,False,False,False,False,False,True,True,True
type_access_extends,/tmpfs/src/github/sv-tests/tests/chapter-8/8.26.3--type_access_extends.sv,8.26.3,False,,True,False,False,True,True,False,False,False,False,True,True,True
constructor,/tmpfs/src/github/sv-tests/tests/chapter-8/8.7--constructor.sv,8.7 uvm-req,False,False,False,False,False,True,False,False,False,False,True,True,True,True
name_conflict_resolved,/tmpfs/src/github/sv-tests/tests/chapter-8/8.26.6.1--name_conflict_resolved.sv,8.26.6.1,False,False,False,False,False,True,False,False,False,False,False,True,True,True
properties,/tmpfs/src/github/sv-tests/tests/chapter-8/8.5--properties.sv,8.5,True,False,False,False,False,True,False,False,False,False,True,True,True,True
this,/tmpfs/src/github/sv-tests/tests/chapter-8/8.11--this.sv,8.11 uvm-req,True,,False,False,False,True,True,True,False,False,False,True,True,True
typed_constructor_param,/tmpfs/src/github/sv-tests/tests/chapter-8/8.8--typed_constructor_param.sv,8.8,False,,False,False,False,False,False,False,False,False,False,True,True,True
implements,/tmpfs/src/github/sv-tests/tests/chapter-8/8.26.2--implements.sv,8.26.2,False,,False,False,False,True,False,False,False,False,False,True,True,True
implements_extends,/tmpfs/src/github/sv-tests/tests/chapter-8/8.26.2--implements_extends.sv,8.26.2,False,,False,False,False,True,False,False,False,False,False,True,True,True
override_member,/tmpfs/src/github/sv-tests/tests/chapter-8/8.14--override_member.sv,8.14,False,,False,False,False,False,False,False,False,False,False,True,True,True
type_access_implements,/tmpfs/src/github/sv-tests/tests/chapter-8/8.26.3--type_access_implements.sv,8.26.3,False,False,False,False,False,True,False,False,False,False,False,True,True,True
global_constant,/tmpfs/src/github/sv-tests/tests/chapter-8/8.19--global_constant.sv,8.19,True,,True,False,False,True,True,True,False,False,True,True,True,True
static_properties,/tmpfs/src/github/sv-tests/tests/chapter-8/8.9--static_properties.sv,8.9,True,,False,False,False,True,False,False,False,False,False,True,True,True
diamond_relationship,/tmpfs/src/github/sv-tests/tests/chapter-8/8.26.6.3--diamond_relationship.sv,8.26.6.3,False,,True,False,False,False,True,False,False,False,False,True,True,True
implemented_class_handle,/tmpfs/src/github/sv-tests/tests/chapter-8/8.26.5--implemented_class_handle.sv,8.26.5,False,,False,False,False,True,False,False,False,False,False,True,True,True
var_protected,/tmpfs/src/github/sv-tests/tests/chapter-8/8.18--var_protected.sv,8.18,True,,True,False,False,True,True,True,False,False,True,True,True,True
shallow_copy,/tmpfs/src/github/sv-tests/tests/chapter-8/8.12--shallow_copy.sv,8.12,True,,False,False,False,True,False,False,False,False,True,True,True,True
assignment,/tmpfs/src/github/sv-tests/tests/chapter-8/8.12--assignment.sv,8.12,True,,False,False,False,True,False,False,False,False,True,True,True,True
inheritance,/tmpfs/src/github/sv-tests/tests/chapter-8/8.13--inheritance.sv,8.13 uvm-req,True,,False,False,False,False,False,False,False,False,False,True,True,True
methods,/tmpfs/src/github/sv-tests/tests/chapter-8/8.6--methods.sv,8.6,True,,False,False,False,True,False,False,False,False,True,True,True,True
parameter_type_conflict,/tmpfs/src/github/sv-tests/tests/chapter-8/8.26.6.2--parameter_type_conflict.sv,8.26.6.2,False,,True,False,False,False,True,False,False,False,False,True,True,True
var_local,/tmpfs/src/github/sv-tests/tests/chapter-8/8.18--var_local.sv,8.18,True,,True,False,False,True,True,True,False,False,True,True,True,True
scope_resolution,/tmpfs/src/github/sv-tests/tests/chapter-8/8.23--scope_resolution.sv,8.23 uvm-req,False,,False,False,False,True,False,False,False,False,False,True,True,True
parametrized_class_scope_resolution,/tmpfs/src/github/sv-tests/tests/chapter-8/8.25.1--parametrized_class_scope_resolution.sv,8.25.1,False,,False,False,False,False,False,False,False,False,False,True,True,True
instance_constant,/tmpfs/src/github/sv-tests/tests/chapter-8/8.19--instance_constant.sv,8.19,True,,True,False,False,True,True,False,False,False,False,True,True,True
parametrized_class_extend,/tmpfs/src/github/sv-tests/tests/chapter-8/8.25--parametrized_class_extend.sv,8.25,False,,True,False,False,True,False,False,False,False,False,True,True,True
constructor_const_arg,/tmpfs/src/github/sv-tests/tests/chapter-8/8.17--constructor_const_arg.sv,8.17,True,,False,False,False,True,False,False,False,False,False,True,False,True
partial_implementation,/tmpfs/src/github/sv-tests/tests/chapter-8/8.26.7--partial_implementation.sv,8.26.7,False,,False,False,False,False,False,False,False,False,False,True,True,True
forward_declaration,/tmpfs/src/github/sv-tests/tests/chapter-8/8.27--forward_declaration.sv,8.27,False,,True,False,False,False,True,False,False,False,True,True,True,True
cast_func,/tmpfs/src/github/sv-tests/tests/chapter-8/8.16--cast_func.sv,8.16 uvm-req,True,,False,False,False,True,False,True,True,False,False,True,True,True
dynamic_method_lookup,/tmpfs/src/github/sv-tests/tests/chapter-8/8.22--dynamic_method_lookup.sv,8.22,False,,False,False,False,False,False,False,False,False,False,True,True,True
constructor_param,/tmpfs/src/github/sv-tests/tests/chapter-8/8.7--constructor_param.sv,8.7 uvm-req,False,False,False,False,False,True,False,False,False,False,True,True,True,True
properties_enum,/tmpfs/src/github/sv-tests/tests/chapter-8/8.5--properties_enum.sv,8.5,False,,False,False,False,True,False,False,False,False,True,True,True,True
out_of_block_methods,/tmpfs/src/github/sv-tests/tests/chapter-8/8.24--out_of_block_methods.sv,8.24,False,,False,False,False,False,False,False,False,False,False,True,True,True
process_control,/tmpfs/src/github/sv-tests/tests/chapter-9/9.7--process_cls_suspend_resume.sv,9.7 uvm-req,False,,False,False,False,True,False,False,False,False,False,True,True,True
event_nonblocking_assignment_delay,/tmpfs/src/github/sv-tests/tests/chapter-9/9.4.5--event_nonblocking_assignment_delay.sv,9.4.5,True,,True,False,True,True,False,True,True,True,True,True,True,True
event_order,/tmpfs/src/github/sv-tests/tests/chapter-9/9.3.3--event.sv,9.3.3,True,,True,False,False,False,False,False,True,False,False,True,True,True
parallel_block_join_none,/tmpfs/src/github/sv-tests/tests/chapter-9/9.3.2--parallel_block_join_none.sv,9.3.2,True,,True,True,False,True,False,False,False,False,False,True,True,True
event_sequence,/tmpfs/src/github/sv-tests/tests/chapter-9/9.4.2.4--event_sequence.sv,9.4.2.4,False,False,False,False,False,False,False,False,False,False,False,True,False,True
sequential_block,/tmpfs/src/github/sv-tests/tests/chapter-9/9.3.1--sequential_block.sv,9.3.1,True,,True,True,True,True,False,True,True,True,True,True,True,True
final,/tmpfs/src/github/sv-tests/tests/chapter-9/9.2.3--final.sv,9.2.3,True,,True,True,False,True,True,True,True,False,True,True,True,True
parallel_block_join_any,/tmpfs/src/github/sv-tests/tests/chapter-9/9.3.2--parallel_block_join_any.sv,9.3.2,True,,True,True,False,True,False,False,False,False,False,True,True,True
event_nonblocking_assignment_repeat_neg,/tmpfs/src/github/sv-tests/tests/chapter-9/9.4.5--event_nonblocking_assignment_repeat_neg.sv,9.4.5,True,,True,False,False,False,False,False,False,False,False,True,True,True
event_control_edge,/tmpfs/src/github/sv-tests/tests/chapter-9/9.4.2--event_control_edge.sv,9.4.2,False,,True,True,False,True,False,True,False,False,True,True,True,True
always_ff,/tmpfs/src/github/sv-tests/tests/chapter-9/9.2.2.4--always_ff.sv,9.2.2.4,True,,True,True,True,True,True,True,True,False,True,True,True,True
event_nonblocking_assignment_repeat_int_neg,/tmpfs/src/github/sv-tests/tests/chapter-9/9.4.5--event_nonblocking_assignment_repeat_int_neg.sv,9.4.5,True,,True,False,False,False,False,False,False,False,False,True,True,True
